Title,URL of resource,Description,Year published,Resource Format (open data),Resource Format (tools and applications),Resource Format (case study),Resource type,Name of resource's point of contact,Organization of point of contact,Email of resource's point of contact,Social Inclusion Tags,Peace Processes,Safe Environments Tags,Civil Society Tags,State Institution Tags,Economic Foundations Tags
Police ANOV/Misdemeanor Report - ANOVs,https://catalog.data.gov/dataset/police-anov-misdemeanor-report-anovs,"Each record is an administrative notice of violation (ANOV), a citation issued for violating a Municipal Code of Chicago ordinance, issued by a Chicago Police Department (CPD) member. This dataset was used by CPD analysts to create an assessment report in support of a consent decree executed between the Office of the Attorney General of the State of Illinois (OAG) and the City of Chicago.The CPD is currently engaged in a reform process, as governed by that consent decree. A consent decree is a written settlement resolving a legal dispute. The OAG/City of Chicago consent decree includes detailed requirements organized into 11 core areas (e.g., use of force, accountability and transparency), collectively designed to create organizational change within CPD. To review the consent decree and learn more about the process, see the City of Chicago’s police reform webpage:https://www.chicago.gov/city/en/sites/police-reform/home/consent-decree.htmlThis dataset is made available to the public pursuant to consent decree requirements described in Paragraph 79 and Paragraph 80.Paragraph 79 of the consent decree states that:
By April 1, 2020, and every year thereafter, CPD will conduct an assessment of the relative frequency of all misdemeanor arrests and administrative notices of violation (“ANOVs”) effectuated by CPD members of persons in specific demographic categories, including race and gender.Then, the last sentence of Paragraph 80 states that: 
Upon completion of the assessment, CPD will publish the underlying data, excluding personal identifying information (e.g., name, address, contact information), via a publicly-accessible, web-based data platform.This dataset was used by CPD analysts to create an assessment report pursuant to Paragraph 79. The report was designed to achieve compliance with Paragraph 79. Each record in the dataset shows information about an ANOV issued by a CPD member. An ANOV is a citation issued for violating a Municipal Code of Chicago ordinance. ANOV’s are adjudicated by the City of Chicago Department of Administrative Hearings (DOAH). ANOV data are owned and housed by the Department of Administrative Hearings. CPD receives a daily data extraction from the DOAH data system, whereupon ANOV data is ingested into the CPD data system.To request the aforementioned report contact the CPD Freedom of Information Act Section athttps://home.chicagopolice.org/information/freedom-of-information-act-foia..NOV NUMBER is the record identifier for the dataset. Each record in the dataset is a unique, unduplicated citation.Users interested in learning more about how CPD handles ANOV citations can review the current policy, using the CPD Automated Directives system (http://directives.chicagopolice.org/directives/). CPD Special Order S04-22, entitled “Municipal Administrative Hearings”, provides guidelines for CPD members when issuing an ANOV.",2023,,,,Open Data,,data.cityofchicago.org,no-reply@data.cityofchicago.org,,,Civilian police reform,,,
Morocco Compact - Small-Scale Fisheries (Final),https://catalog.data.gov/dataset/morocco-compact-small-scale-fisheries-final,Morocco Compact - Small-Scale Fisheries (Final),2025,,,,Open Data,,Millennium Challenge Corporation,impact-eval@mcc.gov,,,,,,Community-based natural resource management
Mongolia Compact - Property Rights - Peri-Urban Rangeland Leasing,https://catalog.data.gov/dataset/mongolia-compact-property-rights-peri-urban-rangeland-leasing,Mongolia Compact - Property Rights - Peri-Urban Rangeland Leasing,2025,,,,Open Data,,Millennium Challenge Corporation,impact-eval@mcc.gov,,,,,,Community-based natural resource management
Malawi Compact - Conservation Agriculture,https://catalog.data.gov/dataset/malawi-compact-conservation-agriculture,Malawi Compact - Conservation Agriculture,2025,,,,Open Data,,Millennium Challenge Corporation,impact-eval@mcc.gov,,,,,,Community-based natural resource management
Morocco Compact - Small-Scale Fisheries (Interim),https://catalog.data.gov/dataset/morocco-compact-small-scale-fisheries-interim,Morocco Compact - Small-Scale Fisheries (Interim),2025,,,,Open Data,,Millennium Challenge Corporation,impact-eval@mcc.gov,,,,,,Community-based natural resource management
Indonesia Compact - Green Prosperity: Social Forestry Grant Portfolio,https://catalog.data.gov/dataset/indonesia-compact-green-prosperity-social-forestry-grant-portfolio,Indonesia Compact - Green Prosperity: Social Forestry Grant Portfolio,2025,,,,Open Data,,Millennium Challenge Corporation,impact-eval@mcc.gov,,,,,,Community-based natural resource management
Namibia Compact - Communal Land Support,https://catalog.data.gov/dataset/namibia-compact-communal-land-support,Namibia Compact - Communal Land Support,2025,,,,Open Data,,Millennium Challenge Corporation,impact-eval@mcc.gov,,,,,,Community-based natural resource management
Cabo Verde Compact - Watershed Management and Agriculture Support,https://catalog.data.gov/dataset/cabo-verde-compact-watershed-management-and-agriculture-support,Cabo Verde Compact - Watershed Management and Agriculture Support,2025,,,,Open Data,,Millennium Challenge Corporation,impact-eval@mcc.gov,,,,,,Community-based natural resource management
Mozambique Compact - Community Land Use Fund,https://catalog.data.gov/dataset/mozambique-compact-community-land-use-fund,Mozambique Compact - Community Land Use Fund,2025,,,,Open Data,,Millennium Challenge Corporation,impact-eval@mcc.gov,,,,,,Community-based natural resource management
Malawi Compact - Environment and Natural Resources Management,https://catalog.data.gov/dataset/malawi-compact-environment-and-natural-resources-management,Malawi Compact - Environment and Natural Resources Management,2025,,,,Open Data,,Millennium Challenge Corporation,impact-eval@mcc.gov,,,,,,Community-based natural resource management
Namibia Compact - Conservancy Support,https://catalog.data.gov/dataset/namibia-compact-conservancy-support,Namibia Compact - Conservancy Support,2025,,,,Open Data,,Millennium Challenge Corporation,impact-eval@mcc.gov,,,,,,Community-based natural resource management
Indonesia Compact - Green Prosperity: Participatory Land Use Planning,https://catalog.data.gov/dataset/indonesia-compact-green-prosperity-participatory-land-use-planning,Indonesia Compact - Green Prosperity: Participatory Land Use Planning,2025,,,,Open Data,,Millennium Challenge Corporation,impact-eval@mcc.gov,,,,,,Community-based natural resource management
Namibia Compact - Community-Based Rangeland & Livestock Management,https://catalog.data.gov/dataset/namibia-compact-community-based-rangeland-livestock-management,Namibia Compact - Community-Based Rangeland & Livestock Management,2025,,,,Open Data,,Millennium Challenge Corporation,impact-eval@mcc.gov,,,,,,Community-based natural resource management
Niger Compact - Climate-Resilient Agriculture (CRA),https://catalog.data.gov/dataset/niger-compact-climate-resilient-agriculture-cra,Niger Compact - Climate-Resilient Agriculture (CRA),2025,,,,Open Data,,Millennium Challenge Corporation,impact-eval@mcc.gov,,,,,,Community-based natural resource management
NASA Disasters Mapping Portal,https://catalog.data.gov/dataset/nasa-disasters-mapping-portal,"This entry does not contain data itself, it is for the website, the NASA Disasters Mapping Portal:https://maps.disasters.nasa.govThe Disasters Mapping Portal contains numerous datasets that can be streamed from the Portal into GIS software.The Disasters Applications area promotes the use of Earth observations to improve prediction of, preparation for, response to, and recovery from natural and technological disasters. Disaster applications and applied research on natural hazards support emergency mitigation approaches, such as early warning systems, and providing information and maps to disaster response and recovery teams.NOTE: Removed ""2017 - Present"" from ""Temporal Applicability"" since it's not valid
NOTE: Removed ""Event-Specific and Near-Real Time Products"" from ""Update Frequency"" since it's not valid",2025,,,,Open Data,,NASA Disasters Program,jeremy.j.kirkendall@nasa.gov,,,Conflict-focused early warning systems,,,
Environmental Sensitivity Index (ESI) Threatened and Endangered Species GIS Services,https://catalog.data.gov/dataset/environmental-sensitivity-index-esi-threatened-and-endangered-species-gis-services1,"Environmental Sensitivity Index (ESI) data characterize the marine and coastal environments and wildlife based on sensitivity to spilled oil. Coastal species that are listed as threatened, endangered, or as a species of concern, by either federal or state governments, are a primary focus. A subset of the ESI data, the ESI Threatened and Endangered Species (T&E) databases focus strictly on these species. Species are mapped individually. In addition to showing spatial extent, each species polygon, point, or line has attributes describing abundance, seasonality, threatened/endangered status, and life history. Both the state and federal status is provided, along with the year the ESI data were published. This is important, as the status of a species can vary over time. As always, the ESI data are a snapshot in time.The biology layers focus on threatened/endangered status, areas of high concentration, and areas where sensitive life stages may occur. Supporting data tables provide species-/location-specific abundance, seasonality, status, life history, and source information. Human-use resources mapped include managed areas (parks, refuges, critical habitats, etc.) and resources that may be impacted by oiling and/or cleanup, such as beaches, archaeological sites, marinas, etc.ESIs are available for the majority of the US coastline, as well as the US territories. ESI data are available as PDF maps, as well as in a variety of GIS formats.For more information, go tohttp://response.restoration.noaa.gov/esi.To download complete ESI data sets, go tohttp://response.restoration.noaa.gov/esi_download.",2024,,,,Open Data,,"(Point of Contact, Custodian)",orr.esi@noaa.gov,,,Conflict-focused early warning systems,,,
Light Rail Stations,https://catalog.data.gov/dataset/light-rail-stations,"Frequent, reliable transit service is the foundation of a transportation system that empowers all travelers and makes Seattle a truly transit-friendly city. A robust transit network is essential if Seattle is to meet its climate goals and address transportation-related inequities. At its most fundamental level, a transit network is made up of transit infrastructure such as bus lanes, transit signals, and bus stops, often arranged in corridors.  The transit service that travels on this infrastructure can be described as a series of routes that connect different parts of a community for a number of hours per day at a certain frequency (the number of trips at a bus stop per hour). SDOT’s vision for the service aspect of the transit network is followed by a vision for transit infrastructure in the sections below. Public input and surveys consistently point to transit frequency as the most critical factor that influences ridership behavior. This fundamental concept directly informs SDOT’s shared vision for a “Frequent Transit Network” (FTN), which builds from the 2016 Transit Master Plan (TMP) and establishes aspirational frequency targets for transit corridors throughout the city. A high-frequency transit network enables people to move through the city with confidence in a timely arrival—and without the need to consult a schedule—throughout the day and every single day of the week. Continual investment in improved transit frequency in Seattle is essential for many reasons:  Post-pandemic transit is likely to remain less commuter-focused and oriented specifically to Downtown Seattle and must adapt to new travel behaviors and patterns. To support everyday trips by transit (not just commutes), people need reliable mobility at all times, such as early mornings, midday, evenings and at night all days of the week, not just at peak times on weekdays.  Transit needs to accommodate work schedules of non-traditional and low-income workers including the times noted above. Transit should be attractive for all types of trips throughout the week, including education, shopping, and recreational trips, as well as cultural gatherings. An excellent transit network is necessary to accommodate the mode shift required to respond to the impacts of climate change in the next decade. Frequent transit reduces wait time, increases reliability, and values the time for existing and future riders. Frequent transit makes transfers more feasible and allows a network of routes to function as a system. A connected network of frequent transit services is also critical to achieve STP climate goals, which require dramatic increases in transit ridership and VMT reduction to support broader efforts to reduce greenhouse gas (GHG) emissions from transportation.  High transit frequencies as part of a reliable, all-day service network can create a more equitable transportation system, making it possible for people of all ages, incomes, and abilities to get where they want to go regardless of when or where they need to travel. The Transit Element presents a vision for frequent transit service in Seattle that goes beyond the original Frequent Transit Network (FTN) presented in the 2016 Transit Master Plan.  Refresh Cycle: None, Static. Manually as required.Original Publish: 5/23/2024Update Publish: 7/11/2024 per Policy and Planning teamContact: Policy and Planning team.",2025,,,,Open Data,,City of Seattle ArcGIS Online,mapgis.mapgis@seattle.gov,,,Conflict-focused early warning systems,,,
"Growth and Yield Data for the Bushland, Texas, Soybean Datasets",https://catalog.data.gov/dataset/growth-and-yield-data-for-the-bushland-texas-soybean-datasets-f8416,"This dataset consists of growth and yield data for each season when soybean [Glycine max (L.) Merr.] was grown for seed at the USDA-ARS Conservation and Production Laboratory (CPRL), Soil and Water Management Research Unit (SWMRU) research weather station, Bushland, Texas (Lat. 35.186714°, Long. -102.094189°, elevation 1170 m above MSL). In the 1994, 2003, 2004, and 2010 seasons, soybean was grown on two large, precision weighing lysimeters, each in the center of a 4.44 ha square field. In 2019, soybean was grown on four large, precision weighing lysimeters and their surrounding 4.4 ha fields. The square fields are themselves arranged in a larger square with four fields in four adjacent quadrants of the larger square. Fields and lysimeters within each field are thus designated northeast (NE), southeast (SE), northwest (NW), and southwest (SW). Soybean was grown on different combinations of fields in different years. Irrigation was by linear move sprinkler system in 1995, 2003, 2004, and 2010 although in 2010 only one irrigation was applied to establish the crop after which it was grown as a dryland crop. Irrigation protocols described as full were managed to replenish soil water used by the crop on a weekly or more frequent basis as determined by soil profile water content readings made with a neutron probe to 2.4-m depth in the field. Irrigation protocols described as deficit typically involved irrigations to establish the crop early in the season, followed by reduced or absent irrigations later in the season (typically in the later winter and spring).
The growth and yield data include plant population density, height, plant row width, leaf area index, growth stage, total above-ground biomass, leaf and stem biomass, head mass (when present), kernel or seed number, and final yield. Data are from replicate samples in the field and non-destructive (except for final harvest) measurements on the weighing lysimeters. In most cases yield data are available from both manual sampling on replicate plots in each field and from machine harvest. Machine harvest yields are commonly smaller than hand harvest yields due to combine losses.
These datasets originate from research aimed at determining crop water use (ET), crop coefficients for use in ET-based irrigation scheduling based on a reference ET, crop growth, yield, harvest index, and crop water productivity as affected by irrigation method, timing, amount (full or some degree of deficit), agronomic practices, cultivar, and weather. Prior publications have focused on soybean ET, crop coefficients, and crop water productivity. Crop coefficients have been used by ET networks. The data have utility for testing simulation models of crop ET, growth, and yield and have been used for testing, and calibrating models of ET that use satellite and/or weather data.
See the README for descriptions of each data file. Resources in thisdataset:ResourceTitle: 1995 Bushland, TX, west soybean growth and yield data. File Name: 1995 West Soybean_Growth_and_Yield-V2.xlsxResource Title: 2003 Bushland, TX, east soybean growth and yield data. File Name: 2003 East Soybean_Growth_and_Yield-V2.xlsxResource Title: 2004 Bushland, TX, east soybean growth and yield data. File Name: 2004 East Soybean_Growth-and_Yield-V2.xlsxResource Title: 2019 Bushland, TX, east soybean growth and yield data. File Name: 2019 East Soybean_Growth_and_Yield-V2.xlsxResource Title: 2019 Bushland, TX, west soybean growth and yield data. File Name: 2019 West Soybean_Growth_and_Yield-V2.xlsxResource Title: 2010 Bushland, TX, west soybean growth and yield data. File Name: 2010 West_Soybean_Growth_and_Yield-V2.xlsxResource Title: README. File Name: README_Soybean_Growth_and_Yield.txt",2024,,,,Open Data,,Agricultural Research Service,steve.evett@usda.gov,,,Conflict-focused early warning systems,,,
"Violence Against Women:  Developmental Antecedents Among Black, Caucasian, and Hispanic Women in the United States, 1987-1988 and 1992-1994",https://catalog.data.gov/dataset/violence-against-women-developmental-antecedents-among-black-caucasian-and-hispanic-w-1992-bb68d,"The aim of this study was to examine the factors related to
different patterns of male violence against women. Employing both
intra-individual and sociocultural perspectives, the project focused
on the relationship between violence against women and previously
established risk factors for intimate partner violence including
stressors related to work, economic status, and role transitions
(e.g., pregnancy), as well as family power dynamics, status
discrepancies, and alcohol use. The following research questions were
addressed: (1) To what extent do Caucasian, Black, and Hispanic
individuals engage in physical violence with their partners? (2) How
are socioeconomic stressors associated with violent relationships
among Caucasian, Black, and Hispanic couples? (3) To what extent are
changes in patterns of physical violence against women associated with
different stages of a relationship (e.g., cohabitation, early
marriage, pregnancy, marriage)? (4) To what extent do culturally
linked attitudes about family structure (family power dynamics)
predict violence among Caucasian, Black, and Hispanic couples? (5) To
what extent do family strengths and support systems contribute to the
cessation of violence among Caucasian, Black, and Hispanic couples?
(6) What is the role of alcohol use in violent relationships among
Caucasian, Black, and Hispanic couples? The data used for this project
came from the first and second waves of the National Survey of
Families and Households (NSFH) conducted by the Center for Demography
and Ecology at the University of Wisconsin-Madison [NATIONAL SURVEY OF
FAMILIES AND HOUSEHOLDS: WAVE I, 1987-1988, AND WAVE II, 1992-1994
(ICPSR 6906)]. The NSFH was designed to cover a broad range of family
structures, processes, and relationships with a large enough sample to
permit subgroup analysis. For the purposes of this study, the
analytical sample focused on only those couples who were cohabiting or
married at the time of the first wave of the study and still with the
same person at the time of the second wave (N=3,584). Since the study
design included oversamples of previously understudied groups (i.e.,
Blacks, Mexicans, Puerto Ricans), racial and ethnic comparisons were
possible. In both waves of the NSFH several identical questions were
asked regarding marital conflicts. Both married and cohabiting
respondents were asked how often they used various tactics including
heated arguments and hitting or throwing things at each other to
resolve their conflicts. In addition, respondents were asked if any of
their arguments became physical, how many of their fights resulted in
either the respondent or their partner hitting, shoving, or throwing
things, and if any injuries resulted as a consequence of these
fights. This data collection consists of the SPSS syntax used to
recode variables from the original NSFH dataset. In addition, new
variables, including both composite variables (e.g., self-esteem,
hostility, depression) and husband and wife versions of the variables
(using information from both respondent and partner), were
constructed. New variables were grouped into the following categories:
demographic, personality, alcohol and drug use, relationship stages,
gender role attitudes, division of labor, fairness in household
chores, social support, and isolation. Psychological well-being scales
were created to measure autonomy, positive relations with others,
purpose in life, self-acceptance, environmental mastery, and personal
growth. Additional scales were created to measure relationship
conflict, sex role gender attitudes, personal mastery, alcohol use,
and hostility. The Rosenberg Self Esteem Scale and the Center for
Epidemiological Studies Depression Scale (CES-D) were also utilized.",2025,,,,Open Data,,National Institute of Justice,opendata@usdoj.gov,,,Conflict-focused early warning systems,,,
Upland Vegetation and Soils Monitoring for the Northern Colorado Plateau Network: 2009-2023 - Data Package,https://catalog.data.gov/dataset/upland-vegetation-and-soils-monitoring-for-the-northern-colorado-plateau-network-2009-2023,"Uplands are land areas lying above the elevation where flooding generally occurs—areas found beyond riparian zones. Uplands represent the vast majority of land area in the Northern Colorado Plateau Network (NCPN), and include rock outcrops, badlands, shrublands, grasslands, woodlands, and forests. Upland vegetation provides energy to other trophic levels, habitat structure for various organisms, and is a significant component of species diversity. The ability of uplands to retain soil and nutrients, absorb and release water, and buffer high-runoff precipitation events is a major influence on riparian condition. Upland ecosystems are easily disturbed and slow to recover, yet several NCPN units contain relatively undisturbed examples of grasslands and shrublands. Historic land uses include livestock and timber production. More recently, recreational use has increased. To effectively manage uplands, the National Park Service needs to know the impacts of these uses. Uplands monitoring includes measuring soil stability, hydrologic function, biological soil crusts, and plant community characteristics. The NCPN uses a rotating panel survey design to select randomized sampling plots that are visited every 1–2 years, followed by a relatively long interval between revisits (3–6 years). This design minimizes the chances that sensitive, arid-ecosystem plots will be damaged by repeated visits in successive years and is a cost-effective way to estimate the health of upland ecosystems across a large area. While the sampling has largely followed the survey design, there have been minor deviations due to budget fluctuations, weather, and Covid, resulting in fewer plots being sampled than intended in some years. NCPN uplands monitoring is intended to strike a balance between increasing fundamental understanding of these systems and providing managers with early warning of undesirable change. The NCPN monitors upland vegetation and soils at 10 units: Arches National Park, Black Canyon of the Gunnison National Park, Bryce Canyon National Park, Canyonlands National Park, Capitol Reef National Park, Cedar Breaks National Monument, Curecanti National Recreation Area, Dinosaur National Monument, Timpanogos Cave National Monument, and Zion National Park.",2024,,,,Open Data,,National Park Service,NRSS_DataStore@nps.gov,,,Conflict-focused early warning systems,,,
Comfort in High-Performance Homes in a Hot-Humid Climate,https://catalog.data.gov/dataset/comfort-in-high-performance-homes-in-a-hot-humid-climate,"TO5 2.3.2: Large-Scale Temperature StudyAlthough space-conditioning systems are required to meet standards such as those in the Air Conditioning Contractors of America (ACCA) Manual RS (Rutkowski 1997) and the ASHRAE Standard 55 (ASHRAE 2013) comfort criteria, little is known about how space-conditioning systems are actually operating in the field and if these systems are meeting those standards. Unconventional space-conditioning systems may be necessary for low-load homes in the future. It is important to know how current systems are functioning in existing homes and to what temperatures occupants typically set the thermostats in their homes.The U.S. Department of Energy's Building America research team IBACOS set out to find some answers. By using low-cost data loggers and occupant surveys to monitor 37 single-family homes that have standard heating, ventilating, and air-conditioning (HVAC) equipment, the team gained insight into how sensitive occupants are to comfort in their homes relative to the ACCA and ASHRAE standards. This study focused on one climate zone (hot-humid); however, future studies may find differences among occupants- ideas of thermal comfort in other climate zones. Data were collected from installed sensors during a 2-month period from late August 2014 through late October 2014. The final aspect of this project was to review the business metrics associated with builders involved in a comfort and performance guarantee program.The results of this study-taken as an aggregate-show that the homes provided room-to-room temperature differences less than 6 degrees F 95% of the time. Temperature differences were less than 4 degrees F 80% of the time. Some homes showed better or worse performance. On average, two-story homes had a 3.3 degrees F temperature difference between rooms; single-story homes had an average of a 2.2 degrees F temperature difference between rooms. Occupants who did not use programmable thermostats had an average set point of 75 degrees F. Homes in which the thermostats were programmed with a setback schedule showed a median baseline temperature value of 74 degrees F and had a median afternoon setback of 75 degrees F.System runtime was analyzed and showed that the room-to-room temperature uniformity in some homes worsened during an on cycle, whereas the uniformity improved in other homes. That is, when the system was running, some rooms were receiving too much or too little air relative to the rest of the house, and the temperatures in those rooms were moving away from the temperatures of the other rooms in the house.Finally, analysis of the thermostat data shows a wide degree of variability among homes in the study. Interpretation of the measured data suggests that 21 occupants made no regular adjustments to the thermostats in their homes, seven had regular setbacks, seven showed varying setbacks, and 10 appeared to follow no pattern (with random adjustments).Ultimately, the data show that current systems are maintaining expected levels of comfort. As expected, it is more challenging to maintain a uniform temperature in all rooms of two-story homes, and future systems should address this issue. Furthermore, the data show that the majority of homes maintained relative humidity levels below 60% without any supplemental dehumidification",2023,,,,Open Data,,Ibacos Innovation,apoerschke@ibacos.com,,,Conflict-focused early warning systems,,,
Frequent Transit Network,https://catalog.data.gov/dataset/frequent-transit-network,"Frequent, reliable transit service is the foundation of a transportation system that empowers all travelers and makes Seattle a truly transit-friendly city. A robust transit network is essential if Seattle is to meet its climate goals and address transportation-related inequities. At its most fundamental level, a transit network is made up of transit infrastructure such as bus lanes, transit signals, and bus stops, often arranged in corridors.  The transit service that travels on this infrastructure can be described as a series of routes that connect different parts of a community for a number of hours per day at a certain frequency (the number of trips at a bus stop per hour). SDOT’s vision for the service aspect of the transit network is followed by a vision for transit infrastructure in the sections below. Public input and surveys consistently point to transit frequency as the most critical factor that influences ridership behavior. This fundamental concept directly informs SDOT’s shared vision for a “Frequent Transit Network” (FTN), which builds from the 2016 Transit Master Plan (TMP) and establishes aspirational frequency targets for transit corridors throughout the city. A high-frequency transit network enables people to move through the city with confidence in a timely arrival—and without the need to consult a schedule—throughout the day and every single day of the week. Continual investment in improved transit frequency in Seattle is essential for many reasons:  Post-pandemic transit is likely to remain less commuter-focused and oriented specifically to Downtown Seattle and must adapt to new travel behaviors and patterns. To support everyday trips by transit (not just commutes), people need reliable mobility at all times, such as early mornings, midday, evenings and at night all days of the week, not just at peak times on weekdays.  Transit needs to accommodate work schedules of non-traditional and low-income workers including the times noted above. Transit should be attractive for all types of trips throughout the week, including education, shopping, and recreational trips, as well as cultural gatherings. An excellent transit network is necessary to accommodate the mode shift required to respond to the impacts of climate change in the next decade. Frequent transit reduces wait time, increases reliability, and values the time for existing and future riders. Frequent transit makes transfers more feasible and allows a network of routes to function as a system. A connected network of frequent transit services is also critical to achieve STP climate goals, which require dramatic increases in transit ridership and VMT reduction to support broader efforts to reduce greenhouse gas (GHG) emissions from transportation.  High transit frequencies as part of a reliable, all-day service network can create a more equitable transportation system, making it possible for people of all ages, incomes, and abilities to get where they want to go regardless of when or where they need to travel. The Transit Element presents a vision for frequent transit service in Seattle that goes beyond the original Frequent Transit Network (FTN) presented in the 2016 Transit Master Plan.  Refresh Cycle: None, Static. Manually as required.Original Publish: 5/23/2024Update Publish: 7/11/2024 per Policy and Planning teamContact: Policy and Planning team.",2025,,,,Open Data,,City of Seattle ArcGIS Online,mapgis.mapgis@seattle.gov,,,Conflict-focused early warning systems,,,
Deep-Ocean Assessment and Reporting of Tsunamis (DART(R)),https://catalog.data.gov/dataset/deep-ocean-assessment-and-reporting-of-tsunamis-dartr1,"As part of the U.S. National Tsunami Hazard Mitigation Program (NTHMP), the Deep Ocean Assessment and Reporting of Tsunamis (DART(R)) Project is an ongoing effort to maintain and improve the capability for the early detection and real-time reporting of tsunamis in the open ocean. DART(R) stations have been sited in regions with a history of generating destructive tsunamis to ensure early detection of tsunamis and to acquire data critical to real-time forecasts. DART(R) systems consist of an anchored seafloor bottom pressure recorder (BPR) and a companion moored surface buoy for real-time communications. An acoustic link transmits data from the BPR on the seafloor to the surface buoy. The data are then relayed via an Iridium satellite link to ground stations, which demodulate the signals for immediate dissemination to NOAA's Tsunami Warning Centers, NDBC, and PMEL. The National Centers for Environmental Information (NCEI, formerly the National Geophysical Data Center--NGDC) serves as the archive center for this data and provides the historical data to users.",2024,,,,Open Data,,NOAA National Centers for Environmental Information (Point of Contact),ncei.info@noaa.gov,,,Conflict-focused early warning systems,,,
"Understanding and Measuring Bias Victimization Against Latinos, San Diego, CA, Galveston, TX, Houston, TX, Boston, MA, 2018-2019",https://catalog.data.gov/dataset/understanding-and-measuring-bias-victimization-against-latinos-san-diego-ca-galveston-2018-9a6e8,"This study surveyed immigrant and non-immigrant populations residing in high Latino population communities in order to:Assess the nature and pattern of bias motivated victimization.
Explore the co-occurrence of bias motivated victimization with other forms of victimization.
Measure reporting and help-seeking behaviors of individuals who experience bias motivated victimization.
Identify cultural factors which may contribute to the risk of bias victimization.
Evaluate the effect of bias victimization on negative psychosocial outcomes relative to other forms of victimization.The study's sample was a community sample of 910 respondents which included male and female Latino adults across three metropolitan areas within the conterminous United States. These respondents completed the survey in one of two ways. One set of respondents completed the survey on a tablet with the help of the research team, while the other group self-administered the survey on their own mobile device. The method used to complete the survey was randomly selected. A third option (paper and pencil with an administrator) was initially included but was removed early in the survey's deployment. The survey was administered from May 2018 to March 2019 in the respondent's preferred language (English or Spanish). 
This collection contains 1,620 variables, and includes derived variables for several scales used in the questionnaire. Bias victimization measures considered both hate crimes (e.g. physical assault) and non-criminal bias events (e.g. racial slurs) and allowed the respondent to report multiple incidents, perpetrators, and types of bias victimization. The respondents were asked about their help-seeking and reporting behaviors for the experience of bias victimization they considered to be the most severe and the measures considered both formal (e.g. contacting the police) and informal (e.g. communicating with family) help-seeking behaviors. The victimization scale measured exposure to traumatic events (e.g. witnessing a murder) as well as experiences of victimization (e.g. physical assault). Acculturation and enculturation scales measured topics such as the respondent's use of Spanish and English and their consumption of media in both languages. The variables pertaining to acculturative stress considered factors such as feelings of social isolation, experiences of racism, and conflict with family members. The variables for mental health outcomes measured symptoms of anger, anxiety, depression, and disassociation.",2025,,,,Open Data,,National Institute of Justice,opendata@usdoj.gov,,,Conflict-focused early warning systems,,,
Famine Early Warning Systems Network (FEWS NET),https://catalog.data.gov/dataset/famine-early-warning-systems-network-fews-net,"The Famine Early Warning Systems Network is a leading provider of early warning and analysis on food insecurity. Created by USAID in 1985 to help decision-makers plan for humanitarian crises, FEWS NET provides evidence-based analysis on some 34 countries. Implementing team members include NASA, NOAA, USDA, and USGS, along with Chemonics International Inc. and Kimetrica.",2024,,,,Open Data,,data.usaid.gov,no-reply@data.usaid.gov,,,Conflict-focused early warning systems,,,
Drug Abuse Warning Network (DAWN-2006),https://catalog.data.gov/dataset/drug-abuse-warning-network-dawn-2006,"The Drug Abuse Warning Network (DAWN) is a nationally representative public health surveillance system that has monitored drug related emergency department (ED) visits to hospitals since the early 1970s. First administered by the Drug Enforcement Administration (DEA) and the National Institute on Drug Abuse (NIDA), the responsibility for DAWN now rests with the Substance Abuse and Mental Health Services Administration's (SAMHSA) Center for Behavioral Health Statistics and Quality (CBHSQ). Over the years, the exact survey methodology has been adjusted to improve the quality, reliability, and generalizability of the information produced by DAWN. The current approach was first fully implemented in the 2004 data collection year.
DAWN relies on a longitudinal probability sample of hospitals located throughout the United States. To be eligible for selection into the DAWN sample, a hospital must be a non-Federal, short-stay, general surgical and medical hospital located in the United States, with at least one 24-hour ED. DAWN cases are identified by the systematic review of ED medical records in participating hospitals. The unit of analysis is any ED visit involving recent drug use. DAWN captures both ED visits that are directly caused by drugs and those in which drugs are a contributing factor but not the direct cause of the ED visit. The reason a patient used a drug is not part of the criteria for considering a visit to be drug related. Therefore, all types of drug-related events are included: drug misuse or abuse, accidental drug ingestion, drug-related suicide attempts, malicious drug poisonings, and adverse reactions. DAWN does not report medications that are unrelated to the visit.
The DAWN public-use dataset provides information for all types of drugs, including illegal drugs, prescription drugs, over-the-counter medications, dietary supplements, anesthetic gases, substances that have psychoactive effects when inhaled, alcohol when used in combination with other drugs (all ages), and alcohol alone (only for patients aged 20 or younger). Public-use dataset variables describe and categorize up to 16 drugs contributing to the ED visit, including toxicology confirmation and route of administration. Administrative variables specify the type of case, case disposition, categorized episode time of day, and quarter of year.  Metropolitan area is included for represented metropolitan areas. Created variables include the number of unique drugs reported and case-level indicators for alcohol, non-alcohol illicit substances, any pharmaceutical, non-medical use of pharmaceuticals, and all misuse and abuse of drugs. Demographic items include age category, sex, and race/ethnicity. Complex sample design and weighting variables are included to calculate various estimates of drug-related ED visits for the Nation as a whole, as well as for specific metropolitan areas, from the ED visits classified as DAWN cases in the selected hospitals.This study has 1 Data Set.",2023,,,,Open Data,,Substance Abuse & Mental Health Services Administration,samhda-support@samhsa.hhs.gov,,,Conflict-focused early warning systems,,,
